# Block number	x	y	z	WCT (tonnes)	Moisture	DPT (tonnes)	RECOVERY	Pit name	SiO2	AL2O3	HAUL Distance (km)	"RESOURCE (0=LMB, 1=Mono Internal, 2 =Mono External"	Empty Haul (minutes)	Full Haul (minutes)			Starting row			
50	-10616	4963	25	8547	0.1301	5283	0.71	WTH2	0.09	0.57	3.55	2	8.4	7.9						
51	-10566	4963	25	8636	0.1301	5313	0.71	WTH2	0.11	0.55	3.50	2	6.9	9.9						
52	-10516	4963	25	9348	0.1300	5533	0.68	WTH2	0.09	0.57	3.46	2	8.7	7.7						
53	-10466	4963	25	10427	0.1300	6230	0.69	WTH2	0.09	0.57	3.43	2	6.9	8.0						
54	-10416	4963	25	20832	0.1300	14412	0.80	WTH2	0.11	0.55	3.42	2	6.8	10.2						
55	-10366	4963	25	22132	0.1300	16071	0.83	WTH2	0.12	0.54	3.42	2	6.6	7.6						
56	-10316	4963	25	22573	0.1300	15662	0.80	WTH2	0.11	0.54	3.44	2	7.0	7.3						
57	-10266	4963	25	19266	0.1300	12890	0.77	WTH2	0.09	0.55	3.47	2	8.0	9.1						
58	-10216	4963	25	18050	0.1300	13074	0.83	WTH2	0.11	0.54	3.51	2	6.7	7.8						
59	-9816	4963	25	12178	0.1300	8363	0.79	WTH2	0.11	0.53	3.53	2	8.0	7.7						
60	-9766	4963	25	13237	0.1300	9900	0.86	WTH2	0.11	0.53	3.58	2	7.4	8.5						
61	-9716	4963	25	10685	0.1299	7218	0.78	WTH2	0.11	0.54	3.64	2	7.1	7.9						
62	-9666	4963	25	10117	0.1300	5927	0.67	WTH2	0.09	0.55	3.67	2	9.2	8.5						
63	-9616	4963	25	12848	0.1301	7159	0.64	WTH2	0.09	0.55	3.72	2	8.2	7.8						
64	-9566	4963	25	12814	0.1300	6992	0.63	WTH2	0.09	0.56	3.75	2	8.1	9.3						
65	-9516	4963	25	12141	0.1300	6863	0.65	WTH2	0.13	0.54	3.81	2	9.3	9.1						
66	-10766	4913	25	7189	0.1300	4152	0.66	WTH2	0.05	0.60	2.73	2	6.5	6.3						
67	-10716	4913	25	11563	0.1300	6745	0.67	WTH2	0.06	0.60	2.76	2	7.5	6.4						
68	-10666	4913	25	4765	0.1302	2898	0.70	WTH2	0.07	0.59	3.63	2	7.5	10.8						
69	-10616	4913	25	1560	0.1297	983	0.72	WTH2	0.07	0.58	3.58	2	8.7	7.8						
70	-10566	4913	25	6836	0.1300	4257	0.72	WTH2	0.08	0.58	3.54	2	8.9	9.5						
